"Register"	"Text"	"Left"	"-5;5"	"Right"
"w"	"W-VD02A1B-4628-1172"	"‘Diğeri’, ‘Diğeri’, aynı ortak yaşamı"	"paylaşmakla"	"birlikte toplumun bizim dışımızda kalan"
"w"	"W-UA16B4A-1185-1876"	"şüphelerimi babasıyla ya da annesiyle"	"paylaşmalı"	"mıyım? ""Ya, boşu boşuna ortalığı"
"w"	"W-WI44F1D-5089-2149"	"ŞÜKÜR. FOTOĞRAFLARI 3. AYIN SONUNDA"	"PAYLAŞACAĞIM."	"AY AY ÇEKİYORUM FOTOĞRAFLARIMI. Ancak"
"w"	"W-FA16B3A-0986-325"	"şöyle, caminin avlusuna gelecek, orada"	"paylaşacağız"	"yani. Çok bekler o orada."
"s"	"S-ACABQq-0423-89"	"şöyle bir özetledik. Bunları, sizlerle"	"paylaşmak"	"istiyorum. Önce, iki kesimlilikle ilgili"
"w"	"W-SC03A2A-1306-2328"	"şu olabilir ""Paylaş"" diyerek çocuğa"	"paylaşmayı"	"öğretiyoruz, paylaşmak önemli bir toplumsal"
"w"	"W-GI09C4A-1342-2134"	"şu dünyayı başka canlılarla da"	"paylaşmasını"	"bilelim ki, yaşamımızın bir tadı"
"w"	"W-GI09C4A-1342-1036"	"şu dünyayı başka canlılarla da"	"paylaşmasını"	"bilelim ki, yaşamımızın bir tadı"
"w"	"W-NA16B1A-1736-14"	"şişeler, yemek dolu tabaklarla somutlaşıvermiş"	"paylaşma"	"gözle görülür bir iştihaya ve"
"w"	"W-JI37C3A-0091-1825"	"şirin bir yazıyı burada sizlerle"	"paylaşmak"	"istiyorum. Yazının başlığı, Delikanlı Bunları"
"s"	"S-BEABXD-0446-158"	"Şimdi... Youtube paylaşan Youtube'dan video"	"paylaşan"	"biri buldum. Hı-hıı. Ben bu"
"w"	"W-PE39C0A-0249-1271"	"Şimdi kamuoyuna dönüp bu yükü"	"paylaşmanın"	"ve onu karara ortak etmenin"
"w"	"W-PA16B2A-0748-2350"	"şimdi bunu söylemeye? Serkan bunu"	"paylaşmaktan"	"çok rahatsız olmadığını fark etti."
"w"	"W-JA16B4A-0854-2391"	"şimdi anlat istersen. Neydi benimle"	"paylaşmak"	"istediğin? Paylaşmak güzeldir. İnsanın yükünü"
"w"	"W-QC05A4A-1433-146"	"şiir gibi topladığı yazıları başkalarıyla"	"paylaşma"	"Hedef 7 Kitap okuma ve"
"w"	"W-JA16B2A-0759-2055"	"şiir dostlarıyla aynı duygulan paylaşmak""..."	"""Paylaşmak!""."	"Mme. Miriam o gece uyandı,"
"w"	"W-VI44F1D-5110-601"	"şifa bulduğum tüm karışımları herkesle"	"paylaşmak"	"istiyorum. güzel bir paylaşım ekşi"
"w"	"W-RA14B1A-1582-314"	"şeyleri paylaşmakla olur. TIJIN Neyi"	"paylaşamıyorsunuz"	"ki?.. ABREK Kararları ve yetkileri"
"w"	"W-DD02A3A-1781-1504"	"şeyleri iyi yapabilir. Yani yönetebilir,"	"paylaştırabilir."	"Buna karşılık devlet üretmek için"
"w"	"W-UA16B2A-1495-303"	"şeyin yoksa da kelimelerin vardı."	"Paylaşılacak"	"sözlerin vardı. Ne yaptın oysa?"
"w"	"W-EA16B0A-0333-554"	"şeyi paylaşmıyor. Belki artık konuşacak,"	"paylaşacak"	"bir şeyi de yok. Artık"
"w"	"W-OD37C2A-0365-624"	"şeyi içime atmışım. Kiminle, neyimi"	"paylaştım?"	"Arkadaşlarımla, sınırlı şeyler. Kimi zaman"
"w"	"W-LI22C4A-0783-52"	"şeyi izleyicilerimle paylaşırım. Seni de"	"paylaşacağım"	"arkadaş, anlatacaksın hikâyeni."" Bingöl'de başlayan"
"w"	"W-QE39E1B-2902-612"	"şeyi az çok eşit koşullarda"	"paylaşmak"	"zorunda kaldığı dönemi 11 Eylül"
"w"	"W-RI41C2A-1463-1540"	"şey öğrenip, hem bunları insanlarla"	"paylaşın"	"hem de bunlar sizin daha"
"w"	"W-VD05A1A-2035-1170"	"şey yürütmeye kalıyor. Aynı yargıyı"	"paylaşan"	"başka bir görüşmeci, ""Türkiye'de çok"
"s"	"S-BEABXD-0446-59"	"şey yok mu? Hiç kimse"	"paylaşmamış"	"mı Youtube'dan? Youtube mu açıyo"
"w"	"W-SA16B2A-0311-1179"	"şey yapmak, onunla bir sırrı"	"paylaşmak"	"heyecanlandırmıştı beni. Uygun zaman kollamaya"
"s"	"S-BEABXD-0446-118"	"şey paylaşalım. Neyi? Bi şey"	"paylaşıyom."	"<gülerek> Salak ya. İzzet'in duvarına"
