"Register"	"Text"	"Left"	"-5;5"	"Right"
"s"	"S-ADABBZ-0371-1117"	"Her köşesi ayrı güzelliklerle dolu"	"olan"	"Anadolu'nun en gizemli kentlerinden biridir"
"w"	"W-PD02A1B-4548-182"	"“çağdaş” “çağdaş” Cumhuriyet seçkinin sahip"	"olduğu"	"ama, kendisinin sahip olmadığı yeni"
"s"	"S-ADABPZ-0134-2138"	"“kimlerdensiniz” “kimlerdensiniz” “kimlerdensiniz” sorusuna yanıt"	"olmasıdır."	"Kolektif kimliğe kişisel kimliğinin toplumsal"
"s"	"S-ADABPZ-0135-1439"	"“anything goes” goes” yani ne"	"olsa"	"gider. Ne olsa olur. Hangi"
"w"	"W-KI31D1B-2324-668"	"şüphemiz yoktu. Daha da iyi"	"olacak"""	"dedi. Golcü takım Fatih Terim'in"
"s"	"S-AEABTZ-0337-1691"	"şükrediyorum diyor. Gıyas tabi <B>"	"olsa"	"daha iyi mi derdi o"
"s"	"S-BEABXw-0353-1286"	"şöyle yapsak nasıl olur? Tamam"	"olur."	"Ne gonuştuk o şeyle vezneynen?"
"w"	"W-FG03A3A-2020-1243"	"şöyle nitelenmektedir Toplumsal bir işlevi"	"olması,"	"sanatsal bilgi ve tekniğe sahip"
"w"	"W-LH03A2A-0517-2120"	"şöyle karşılaştırmaktadır ""Müslümanlar (Selçuklular) hiç"	"olmazsa"	"kadınlara tecâvüz etmiyorlardı... Ahâliyi sefalete"
"s"	"S-ADABPZ-0135-958"	"şöyle ee! temellendirmeye çalıştım profesör"	"olarak."	"Esasında sözcük bakımından etimolojik olarak"
"w"	"W-ID03A1A-1517-2463"	"şölenlerden birinde Bayındır Han, oğulları"	"olan"	"beylerin ak çadıra, kızları olanların"
"w"	"W-ID03A1A-1517-2412"	"şölenden yararlanıp beylerine çocuk iyesi"	"olma"	"gereğini anımsattığını görmüştük. Anlatının baş"
"s"	"S-ACABQq-0429-1403"	"şöhretine, demokratik özüne yakışmayan davranışlar"	"olur."	"Bizim istediğimiz, Türkiye Büyük Millet"
"w"	"W-GE05A0A-0223-599"	"Şurayı Devlet Tanzimat dairesi azası"	"olan"	"zevat da vardır. Daha önceden"
"s"	"S-ACABTZ-0336-879"	"şunları söyliyebiliriz. Atmosferin davranışlarının kaotik"	"olduğu"	"bilinmektedir. Küresel iklim değişiminin küresel"
"w"	"W-JI09C3A-1441-278"	"şu veya bu derneğe üye"	"olup"	"olmadığını araştırmayı da düşünemezdik. Zira,"
"s"	"S-ACABQq-0423-2497"	"şu var Şimdi, kısıtlı da"	"olsa"	"bazı avantajlar sağladık. Sayın Bakan"
"w"	"W-RA16B1A-1496-180"	"Şu an girecekleri savaşın başlangıcı"	"olsaydı"	"ve buna Xavier önderlik etseydi,"
"s"	"S-AEABUZ-0021-2212"	"şirkete yeni bir müdür tayin"	"olmuştur"	"ya, herkes tanışırken işte bazıları"
"s"	"S-BEABXO-0095-2164"	"şirin mi? Tamam. Şirinler küçük"	"olur"	"diil mi? Evet küçük olur."
"s"	"S-ADAB^o-0132-1546"	"şimdiki kriz bunların yansımaları hepimize"	"oldu."	"Ama bu tabii tüm üniversiteye"
"s"	"S-BEABXB-0077-1078"	"şimdi. Aa!. Nasıl yapıyosun? Bişe"	"olmuyo"	"ki. Ben hayatta yapamam. <D"
"s"	"S-BEABXO-0136-766"	"şimdi, ben anne sen kız"	"olsana."	"Tamam. Şimdi sen uyumuşsun koltukta."
"s"	"S-BEABXg-0088-2156"	"Şimdi şöyle düşünüyom. Benim arabam"	"olsa"	"ben de vermem yani niye."
"w"	"W-ME43C2A-3340-891"	"şimdi yavaş yavaş çok revaltivize"	"olmuş"	"durumda. YDD bu bölgede egemenliğini"
"s"	"S-BEABXO-0012-1551"	"şimdi Türkiye'nin her yeri böle"	"olmuş."	"Gene burası bi <B> var."
"s"	"S-ADABPZ-0135-2456"	"Şimdi tabiki yani dinsel olan"	"olsun"	"toplumsal olarak bize gelen değer"
"s"	"S-ADABAo-0308-1622"	"şimdi o biraz daha kalıcı"	"olmaya"	"başladı. Emm ve o anlamda"
