"Register"	"Text"	"Left"	"-5;5"	"Right"
"w"	"W-VD02A1B-4629-1958"	"“tehlikeli sınıfları” sınıfları” tanımlamaktır. Bunu"	"yaparken"	"de izlemesi gereken yol, bu"
"w"	"W-SE20C0A-0238-1275"	"“anlama”ya “anlama”ya öncelik veren konuşmalar"	"yapmadığı"	"gibi, “dostların “dostların birbirlerine yaralarını"
"w"	"W-LE39E1B-3031-1981"	"şüphesiz bu da insan olarak"	"yaptığımız"	"çalışmalara, kurduğumuz işlettiğimiz beşeri sistemlere"
"s"	"S-BEABXO-0002-2000"	"şükür Allah'a. Özgür pırt mı"	"yaptın?"	"<B> Anne. Efendim? <D 4>"
"s"	"S-BEABXO-0325-366"	"şöyledir böyledir yani hiçbir şey"	"yapmıyo,"	"sanki sen orda duvara konuşmuşsun"
"s"	"S-BEABXO-0122-2369"	"şöyle olsun böyle olsun. Üstüne"	"yapıyor,"	"uyguluyor. Zaten boleronlar var giyiyorsun,"
"s"	"S-ADABCo-0232-2061"	"şöyle mi davranır diye değerlendirmeler"	"yapılmasını"	"doğrusu yargıya saygısızlık sayıyorum. Şahin"
"w"	"W-TH42E1B-2920-977"	"şöyle dursun, kalbinde böyle şeyleri"	"yapmaya"	"niyeti bile olmaz. Böyle bir"
"w"	"W-MG24D1B-2298-1792"	"şöyle de bakabiliriz Bu Avrupa'da"	"yapılacağı"	"için reklam bakımından da önemli."
"s"	"S-ADABAo-0033-1142"	"şöyle buyuruyor, de ki Ben"	"yaptığım"	"peygamberlik, risalet görevim karşılığında sizden"
"s"	"S-BEABXB-0003-1279"	"Şunu kaldır bunu kaldır diyolarmış"	"yapabilir"	"mi? Hadi yaa! Ne gibi?"
"w"	"W-UI44F1D-4755-1282"	"şunu eklemek istiyorum kesinlikle stres"	"yapmıycaksınız"	"gerçekten çok önemli. allah hepinize"
"s"	"S-ADABI]-0127-179"	"şunları şunları sölesin biz bunları"	"yapalım,"	"ilk senemde bunlar olmadığı için"
