"Register"	"Text"	"Left"	"-5;5"	"Right"
"w"	"W-SE05A1B-4200-868"	"“Hatıralar” adlı kitaplarına yansıtmıştır. Bu"	"çalışma"	"kapsamında Nogales’in Nogales’in Nogales’in yaşamı"
"w"	"W-SE36E1B-3294-2360"	"Şüphe mekanizmasını hayatlarının her evresinde"	"çalıştıran"	"sevgili Akrepler, bu yıl para"
"w"	"W-UI03C3A-1471-1340"	"şükürler olsun elim ayağım tutuyor,"	"çalışabiliyorum."	"Hatta onun harçlığını da verebiliyorum."
"s"	"S-ADABPZ-0135-120"	"şunu söyleyim. Sabahta ee! söylemeye"	"çalıştım."	"Böyle bir tek ee! bir"
"s"	"S-ADABCo-0272-891"	"Şubatta bu tema doğrultusunda editoryal"	"çalışmaların"	"tamamlandığını TÜBİTAK başkan yardımcısı Ömer"
"s"	"S-ADAB^A-0317-1788"	"şuanda 200'e yakın alışveriş merkezi"	"çalışıyor."	"Bir 1070 tane daha var."
"w"	"W-CA16B2A-1308-914"	"şu İsmail. Döndük yerimize. Onlar,"	"çalıştıkları"	"dairedeki bir olaya dalmışlardı. İçkilerimizden"
"s"	"S-ADAB^Z-0370-290"	"şu bi saatlik sürede toparlama"	"çalıştığımız"	"kadarıyla da, çok fazla şey"
"s"	"S-ACABQq-0422-1121"	"Şu anda ülkemizde bununla ilgili"	"çalışmalar"	"var. Bu arada, Kızıldere sahası"
"w"	"W-QD30D1B-2190-1666"	"Şu anda sivil biri olarak"	"çalışıyorum."	"Yarın başka hizmetler gündeme gelirse"
"s"	"S-ADABCo-0365-2025"	"Şu anda komisyonumuz bu anlamda"	"çalışıyo."	"Önümüzdeki süreçte kulüplerimizin bu anlamdaki"
"s"	"S-ADABII-0439-1665"	"şu anda halkla ilişkiler sektöründe"	"çalışıyorum."	"bu kadar Bekar mısınız? Bekarım"
"s"	"S-ADABCo-0248-1604"	"Şu anda haftada iki gün"	"çalışıyorum."	"Düşündüm ki bütün boş zamanlarımda"
"s"	"S-BEABXg-0070-1640"	"şu anda gerçekten koreografileri hazırlamaya"	"çalışıyorum"	"ama hep patlayıcı hareketler buluyorum"
"s"	"S-BEABXO-0322-2368"	"Şu an 36. Ki devlette"	"çalışamaz."	"40'dan sonra atamıyo devlet diye"
"s"	"S-ADBBI^-0326-238"	"şovuma monte ettik, neticede güzel"	"çalıştık."	"Fatih Aksoy; çok kafası çalışan,"
"w"	"W-UI22C1A-0430-2429"	"şovdan, kadının sesi programlarına yetişmeye"	"çalışarak,"	"ekmeğini stüdyo izleyicisi olarak kazanan"
"w"	"W-SC06A1B-4030-1035"	"şirketlerin yaşadıklar sorunların incelendiği bu"	"çalışmada"	"amaca uygun olarak konunun temelini"
"s"	"S-AEABUZ-0038-557"	"şirketi filanca bilim adamına sen"	"çalışmayı"	"yap ben sana 1 milyon"
"w"	"W-UA16B2A-0398-2303"	"Şimdilerde iç mekânların çekimi yapılıyordu."	"Çalışmaların"	"yılbaşından önce bitirilmesi için iş"
"s"	"S-AEABTZ-0040-227"	"şimdiki politikalar ne? Bunları açıklamaya"	"çalıştık."	"Ama heralde eee bazı yerlerde"
"s"	"S-ACABQq-0423-545"	"şimdi, bütün bunlardan sonra yaptığımız"	"çalışmayla,"	"bu Annan Planıyla, bu son"
"s"	"S-BEABXO-0452-431"	"şimdi sen günde 2 saat"	"çalışsan"	"sana yeter. Günde kaç 2"
"s"	"S-BEABXg-0070-1402"	"şimdi saat 6'ya kadarsa eğer"	"çalışma"	"saatimiz tamam mı 6'dan sonra"
"w"	"W-SE20C0A-0238-1129"	"şimdi kaybettiğimiz zamanı telafi etmeye"	"çalışıyoruz."	"Birkaç kişi daha var. Özlem"
"s"	"S-ADABAo-0033-1853"	"şimdi insanlar şehirlere göçtü. Herkes"	"çalışıyor,"	"devlet kurumlarında çalışıyor, esnaflık yapıyor."
"s"	"S-BEABXO-0122-53"	"şimdi gençlerde. Beni de çalıştırsana."	"Çalıştırıcam."	"Neydi, Behlül izlediği zaman öyle"
"s"	"S-ACABQq-0425-994"	"Şimdi Gelir Vergisinde de düşme"	"çalışmaları"	"bugün Komisyonda sürdü ve onlar"
"s"	"S-ADABPZ-0134-339"	"şimdi de birçok kimsenin kullanmaya"	"çalıştığı"	"medeniyetler çatışması diyorlar üstelik, çatıştırmak"
"w"	"W-MA16B1A-0213-992"	"şiddetini ve yönünü kestirmek için"	"çalışırdım."	"Eğer, bedenim titremeye başlamış ve"
"s"	"S-ADAACo-0226-2333"	"şiddeti ilk aşamada pek anlaşılmıyor."	"Çalışanlar"	"sel sularının sürüklediği değerli eşyayı"
"w"	"W-TF05A1B-4650-1809"	"şiddete maruz kalma durumunu artırabilmektedir."	"Çalışmaları"	"karşılığında düşük maaş elde edenlerin"
