"Register","Text","Left","-5;5","Right"
"w","W-UE05A1B-4257-547","“kadın işgörenlerin kadın olmaktan dolayı","yaşadıkları","tedirginliğe ilişkin görüşleri ile çalıştıkları"
"w","W-LG24D1B-2297-1535","şöyle diyor ""Biz ölümlü insanlarız.","Yaşamayı","ve baharı bu yüzden severiz."
"w","W-UE39C1A-2603-1530","şöyle diyecektir ""Bu ihtilal, Paris'te","yaşayan","Genç Türkler'in işi değildir. Bu,"
"s","S-ADABPZ-0125-1038","şöle bir bakın biz fiili","yaşadığımız","için biz size sokaktan bilgi"
"s","S-ACABQq-0426-43","şunu da biliyoruz Bu coğrafyada","yaşıyoruz,","o cinayeti işletenler ile soruşturanlar"
"w","W-SF25D1B-2762-1454","Şubat 2001 krizinden sonra tüketimde","yaşanan","""kaliteden kaçış"", 2005 ortasında, kriz"
"s","S-ADABCo-0306-602","Şu tarafa geliyor. Burasıda patlamanın","yaşandığı","ve 4 askerin şehit olduğu"
"w","W-SI22C2A-0760-2196","şu anda iki ailesiyle birlikte","yaşıyor.","Özel günlerde iki annesine ve"
"s","S-ADABPZ-0134-842","şu anda en yoksul dönemlerini","yaşamaktadır","bu arada fakir edebiyat yapmıyorum,"
"w","W-UI32D1B-2553-864","şu anda ailem ile birlikte","yaşıyorum.","Çalışıyorum, küçük bir dükkanım var."
"w","W-TI37C2A-1326-11","Şu an nasıl bir hayat","yaşıyorsunuz?","Dört dörtlük; berbat veya ikisinin"
"w","W-JD30D1B-2221-506","şova dönüştürdü. ANAP Genel Sekreteri","Yaşar","Okuyan'ın organize ettiği gösteriye haber"
"w","W-OF10A2A-1788-758","şokların etkisinin çok daha derin","yaşanabildiği","bir ülkede Merkez Bankası'nın piyasalara"
"s","S-AEABUZ-0021-335","şiyler olacak, ülkem iyi şeyler","yaşayacak.","Yani bir tüketim toplumu, o"
"w","W-VD05A2A-2602-1297","şirket ile herhangi bir sorun","yaşamayacağına,","kalite ve servis açısından herhangi"
"w","W-KB04A3A-1259-2028","şimdilerde yalnızca büyük kentsel yerleşmelerde","yaşandığını","sandığımız bir yetersizlik de giderek"
"s","S-ADAASK-0036-127","Şimdi yeryüzünde ne kadar insan","yaşıyor?","7 milyar. Yapılan hesaplara göre"
"s","S-BEABXO-0381-404","şimdi kızanlar gençler yaşasınlar, valla","yaşasınlar.","Biz ep elde yıkadık, tarlalarda,"
"w","W-QI45F1D-4820-958","şimdi hayatlarımıza devam ediyoruz, anları","yaşıyoruz","ayrı ayrı, onu mu seviyorum,"
"w","W-TF25D1B-2153-1210","şimdi de değilim. O olaylar","yaşanırken","de benden kaynaklanan bir şey"
"s","S-BEABXO-0436-1002","şimdi bunları yaşadınız ya... He","yaşadık","hep yaşadık. Bunları yaşadınız şimdi"
"w","W-ME43C2A-3340-632","Şimdi Bosna'da üç eşit halk","yaşıyor.","Bosnalılar, Müslümanlar, Sırplar ve Hırvatlar,"
"w","W-JE39C3A-1250-75","Şiddetli depremlerin ve volkanik etkinliklerin","yaşandığı","bu ülkede en büyük tanrılarının"
"w","W-OI37E1B-3058-1747","şiddeti kendimize gecelerden hapishaneler yaratarak","yaşıyoruz.","Her saniye var olmadığımızı söyleyen"
"w","W-EE39C4A-0975-1410","şiddete yolaçabildiğinin somut göstergesi olaylar","yaşanmıştır.","Bunlara 1980 öncesindeki Alevi katliamları"
"s","S-BEABX\-0065-1","şi yok. Monoton bi hayat","yaşıyoz.","Monoton. Hiç bi şeyimiz şey"
"s","S-AEAASO-0039-917","şeytanın, nefsin arzuları doğrultusunda kazandın,","yaşadın,","ağız tadıyla yiyemezsin çok olsa"
"w","W-FG43A2A-2012-1938","şeylerin yaratılmasında yardımcı olabilir. Tepkisiz","yaşamak","da sanırım çağdaşlığa götürüyor. Bu"
"s","S-BEABXO-0007-415","şeyi istediği gibi olsa, rahat","yaşasa...","Zaman geçse geçmese ne olacak?"
"w","W-XI45F1D-4798-1485","şeye ekliyorsunuz yeni kendinizi. Anı","yaşamak","klişe bir laf haline getirildi"
"w","W-GA14B1A-1501-1876","Şey. KARAGÖZ (Fısıldar.) Evet, de!","YAŞAR","Şey. Evet! HACİVAT Bu ayıları"
"s","S-BEABXO-0325-968","şey olmuyo, daha önceden hani","yaşadıklarımızla","başkaları yaşadıklarını hatırlıyorum, sen de"
"w","W-GI37E1B-3051-2411","şey olamaz... Ama her şeyi","yaşadığımda","gördüğüm bir şekli olabilir davranışlarımın,"
"s","S-ADAB^A-0317-901","şey karabiber olmuş. Karabiber orda","yaşamadığı","için. <B> Sumak, keza, zençefil"
"w","W-KA36B2A-0085-1233","şey düşünmediğim de oluyor. Sadece","yaşıyor","oluyorum. Bırakıyorum zaman aksın veya"
"w","W-LE09C4A-0465-2358","şeriatçılar ile devlet şeriatçıları arasında","yaşanmaya","başlandı. Belki burada Tansu Çiller"
"w","W-CD09C2A-0207-619","Şerefhanoğlu, Naci Kutlay, Sait Elçi,","Yaşar","Kaya, Musa Anter, Canip Yıldırım,"
"w","W-RE30D1B-2121-2312","şeklinde konuştu. Terri öldü Yaşatılıp","yaşatılmaması","ABD'de tartışma konusu olan beyin"
"w","W-SF25D1B-2147-2244","şeklinde iken, Komisyon'da bu düzenlemenin","yaşanan","sıkıntıların devamına neden olacağı konusunda"
"w","W-PC05A1A-1790-195","şekillendirmektedir. Bu süre, hızlı değişimin","yaşandığı","günümüz dünyasında oldukça uzundur. Nitekim"
"w","W-LF10A1A-1825-2328","şekilde toparlanmasıyla erken bir artış","yaşamışlar,","ama Hong Kong'daki etkili bir"
"s","S-ADBBAo-0443-963","şekilde düşünüyor. Peki yıllar sonra","yaşadıklarından","sonra Mehmet Bey'le birliktesin ve"
"s","S-ACABPZ-0329-1082","Şekilde Andria Ameti isimli ustanın","yaşadığı","yer, çalıştığı atölye ve onun"
"s","S-BEABXW-0058-188","şekilde ama alışıncaya kadar sorunlar","yaşıcaksın","yani. Doğru doğru. Bölümde de"
"w","W-TG43C2A-1807-1180","şehirleri benzer savaş durumu şartlarını","yaşamıştı.","Tabii Avrupa'da topladığı bu ilgi,"
"s","S-BEABXW-0058-591","şehir oralar, yemin ediyorum tam","yaşanıcak","şehirler ya. Kanka paran olmadıktan"
"w","W-OA16B2A-0438-2283","şehir gürültüsünden uzak bir yerde","yaşamayı","zaman zaman düşünmüşümdür. Kimbilir? Belki"
"w","W-PI22E1B-2909-511","şefkatin en güzel örneklerini beslenirken","yaşar.","Mesela kanguru yavrusu, annesinin kesesine"
"w","W-NE43C2A-1884-1572","şaşkınlık yaşandı Amerika'da, dünyada da","yaşandı.","Bu şaşkınlığın yaşanmasının sebebi neydi?"
"s","S-ADABCo-0241-809","şartlarıyla mücadele etmeyi, emm teknede","yaşamanın","ne demek olduğunu, yelken yapmanın"
"w","W-OI37C3A-0483-583","şartlarda bile canından bezdirmemiş, zevkle","yaşatmış","olanlar, bu insanlar... Şehrin bugünkü"
"w","W-PI43C3A-1810-1573","şarkısından etkilenip Hilmi Topaloğlu'nu aradınız?","Yaşar","Yağmur Hem fiziğiyle hem de"
"w","W-QI27D1B-2452-2323","şanslı olduklarını"" söylüyor ""Çünkü bizimkisi","yaşayan","bir müze. Örneğin bir arkeoloji"
"w","W-IE39C2A-0676-708","Şam'dadır. Yani altı yüzyıl evvel","yaşamıştır.","Ama tam Arap isyanı sırasında"
"w","W-GA14B1A-1501-1259","şalvar, başında kasketle Yaşar gelir.)","YAŞAR","Baba! (Annesini görür.) Aa! Anneme"
