"Register","Text","Left","-5;5","Right"
"w","W-RD02A1B-4572-618","“Tahvil “Tahvil Saati” Saati” adı","verilmektedir.","Doğu Anadolu illerimizden Erzurum, Ardahan,"
"w","W-VI22E1B-2915-73","şıkkı çoğunlukta olan sevgili arkadaşlar,","verdiğiniz","cevaplardan son derece dengeli beslendiğiniz"
"w","W-VF05A1B-4642-2224","şöyle anlatmıştır inşaat şirketlerine ruhsat","verilirken","binanın güneş alışına göre konumu"
"s","S-AEABUZ-0021-1628","şöle olsaydı. Burak onu bi","verebiliyor","muyuz lüften? Yani bu örnek"
"s","S-BEABXO-0324-1472","şuyu buyu… buyu… Kürtlerin çoğu","veriyo.","Her her kesimden her şeyden,"
"s","S-ADBBI^-0042-1038","şuydu Biz tam bu uğraşları","veriyoruz,","kamuoyu önünde de fazla konuşmuyoruz,"
"s","S-BEABXO-0091-1403","şuraya sehpa bişe. <B> <B>","Ver","amına koyim. <B> Onu bırak"
"s","S-ADBBAo-0443-982","şunu yaptım, hadi bana şunu","ver","demesi gerekiyorsa, bu en başta"
"w","W-QI42E1B-2939-80","şunu gördüm Onlar, emeğin karşılığını","vermek","hususunda cimri ve isteksizdirler. Üstelik"
"s","S-BEABXO-0344-1201","şunu giydirin. Onu giyer mi?","Ver","bakim. Sığmaz ki. At at."
"w","W-RA15B4A-0542-1627","şunu fark ettim ki, bana","verilen","altı saat içinde ben bir"
"s","S-ACABTZ-0336-1406","şunu dedi Ben size yakıtı","verecem.","İnşaat için krediyi verecem. Kemiği"
"s","S-BEABXO-0389-500","Şunu da şöyle yapalım. Ver","ver","ver heh şöyle yapalım. Tamam."
"s","S-BEABXO-0342-1786","şuna veriyorum, buradaki malımı buna","veriyorum,","<B> Pasajı'ndakini buna veriyorum. Halep"
"s","S-ADABAo-0308-1166","şuanda Doblo kendi segmentine isim","veren","bir araç. Doblo gibi araç"
"s","S-BEABXR-0010-2468","şu vadeliden param çıkınca sana","verecem.","Hiç merak etme. Hâla bana"
"s","S-BEABXO-0087-2091","Şu Ronaldo'nun yaptığına bak. Artık","ver","kartı sabahtan beri faul yapıyorlar"
"s","S-ADAASK-0036-2453","şu göreve bak. Şahitlik görevi","verdi","Allah bize. Biz şahitlik yapma"
"w","W-KE09C4A-0992-2159","Şu gölgesi bile insana güven","veren","Hamza. Daha önceki gelişimizde tanımıştık."
"w","W-TI22E1B-2913-488","şişmiş o amcanın kulağına şifa","ver","ya Rabbi!"" Bir Kitap Okudum"
"s","S-BEABXn-0350-527","şirketi yok yani. Bunlara izin","vermiyen","de zaten ülkenin başındakiler. Adam"
"w","W-VE05A4A-2591-2338","şirkete, sen bana 100 Lira","ver,","ben sana 200 Liralık Net"
"w","W-QD30D1B-2178-2465","şirkete de afet konutu ihalesi","verildi.","Bayındırlık Bakanlığı'nın Bingöl ve Genç"
"w","W-ID02A1B-3822-2124","şimdiye ve yaratıcı özneye zarar","verir,","şimdiyi, burayı ve ben'i olumsuz"
"s","S-BEABXO-0136-1441","şimdi. Tamam. Bak, şu tabağı","verir","misin dedim; şu tabağı verir"
"s","S-BEABXO-0160-522","şimdi uzun süreli bi tedavi","verir.","Ee? yani şimdi fizik tedaviye"
"s","S-BEABXO-0068-163","Şimdi okul öncesi eğitime önem","veriyolar.","Hıı. Onun için onların puanı"
"s","S-ADABAo-0433-2115","Şimdi napıyoruz bir şarkı arası","verelim.","Sizlere de soruyorum, sahip olduğumuz"
"w","W-RE36E1B-3293-1800","şimdi de AB Parlamentosu'nda konser","verecek","Türkiye'nin Kürt elçisi Derin ve"
"s","S-AEABUZ-0021-2497","şimdi danışman hocamız teşekkür belgelerini","vericek.","Beklerseniz. Teşekkür ederiz. Hocam çok"
"s","S-BEABXs-0130-2478","Şimdi bu soruya kimse cevap","veremez.","Yani okadar emek yapıcan, afişleri"
"s","S-ADABPZ-0134-588","şimdi artık kolektif kimlik adı","verilebilir.","Kolektif kimlik kişinin toplumsal olarak"
"s","S-ADABPZ-0119-136","Şimdi 2 türlü bilgi tanımı","vermemiz","mümkündür. Bunlardan bir tanesi ideal"
"w","W-SE20C0A-0238-2457","şiirleştiriyorum. Kendi kaderimizi birkaç dizeyle","vermeye","çalışıyorum. Sen hâlâ aynı renk"
"s","S-BEABXO-0431-2112","şeyliymiş böyle ruj gibi renk","veriyo.","Hee kimisi öyle oluyo ki"
"s","S-BEABXO-0325-445","şeyleri Nasia'yla Nasia'ın bana selam","vermemesi","benim Neslihan'larla konuşmamdan sonra oldu."
"w","W-TH42E1B-2920-431","şeylerden vermemizi istiyor, severek isteyerek","vermemizi","istiyor. Allah için verilen hiçbir"
"s","S-BEABXO-0075-1308","şeylerde di hep yanlış bilgi","vermiş","diyo. Gerçekten mi dedim ya"
"s","S-BEABXO-0093-2060","şeyler yapıyosun ama kendine zarar","verecek","şeyler yapma. Bak duruyorum ama"
"s","S-AEABUZ-0038-1894","şeyi var, ezikliği, ezilmişliği, ezikliğin","verdiği","şeyle. Onun için Oxford'u uluslar"
"s","S-AEABUZ-0038-811","şeyi konuşalım. Buyurun. Hocam izin","verirseniz","bu üniversite <B> bireyde olması"
"w","W-QC37C4A-1743-2345","Şeyh'in kadınların elini öpmesine izin","vermesi","bu bakımdan sıralanabilecek ilk akla"
"s","S-BEABIs-0015-1969","şeye yani bazı şeylere önem","vermesi","sahip çıkması gerekiyor Burakçım. Aile…"
"s","S-BEABXL-0123-2339","şeye verirler, çok uzaklardan gelenlere","verirler.","Önceliği onlara verirler. Kardeşi okuyanlara"
"s","S-BEABXw-0353-782","şeye vardım özde'ye vardım. Parayı","verdim.","Senedi aldım. Kimliği aldım. Eve"
"s","S-BEABXn-0350-716","şeye başvuruyo bi kadın. Yine","vermiyo.","Böyle böyle gidiyo işte. Aynı"
