"Register"	"Text"	"Left"	"-5;5"	"Right"
"w"	"W-TD02A1B-4602-2205"	"“insan ırkının, özellikleri tanrı tarafından"	"verilmiş,"	"doğal bölünmesi” bölünmesi” olarak nitelendirirken,"
"s"	"S-ADABAo-0366-1938"	"Şöyle sanıyorum bir akış içersinde"	"vermek"	"mümkün olabilir. Demek ki akıldan"
"s"	"S-AEABUZ-0021-2053"	"şöle olsaydı. Burak onu bi"	"verebiliyor"	"muyuz lüften? Yani bu örnek"
"w"	"W-SF10A1D-2031-728"	"şöförü Bakın eğer ben vergi"	"veriyorsam,"	"benim bu vergim keselere gidecekse"
"s"	"S-BEABXO-0324-994"	"şuyu buyu… buyu… Kürtlerin çoğu"	"veriyo."	"Her her kesimden her şeyden,"
"s"	"S-ADBBI^-0042-2367"	"şuydu Biz tam bu uğraşları"	"veriyoruz,"	"kamuoyu önünde de fazla konuşmuyoruz,"
"s"	"S-BEABXu-0435-2160"	"şurdan! Valla kendime gelince heycanlanıyom"	"veremiyom"	"kağıt. Bir iki üç dört..."
"s"	"S-BEABXO-0346-1136"	"şunu! Timur kendin vermek istemiyorsan"	"ver"	"bana ver. Söyle! Ver... İyi"
"s"	"S-ADBBAo-0443-2294"	"şunu yaptım, hadi bana şunu"	"ver"	"demesi gerekiyorsa, bu en başta"
"s"	"S-ADABPZ-0135-908"	"şunu gösterdi. Zayıflıkları çok hesabını"	"vermedikleri"	"hücumlarda bulunuyorlar. Gene de emm"
"s"	"S-BEABXO-0344-1054"	"şunu giydirin. Onu giyer mi?"	"Ver"	"bakim. Sığmaz ki. At at."
"s"	"S-ACABTZ-0336-39"	"şunu dedi Ben size yakıtı"	"verecem."	"İnşaat için krediyi verecem. Kemiği"
"s"	"S-ADABCo-0258-589"	"şunu da bilmenizi isterim ki"	"verdiğimiz"	"fiyatla hidro-elektrik santrallerde üretilen elektrik"
"s"	"S-ACABUZ-0035-66"	"şunları bu örnekleri şunun için"	"veriyorum."	"Tevfik Fikret korkulacak kadar anlaşılmaz"
"s"	"S-BEABXO-0342-1066"	"şuna veriyorum, buradaki malımı buna"	"veriyorum,"	"<B> Pasajı'ndakini buna veriyorum. Halep"
"s"	"S-BEABXO-0087-1913"	"Şu Ronaldo'nun yaptığına bak. Artık"	"ver"	"kartı sabahtan beri faul yapıyorlar"
"s"	"S-ADAASK-0036-2027"	"şu göreve bak. Şahitlik görevi"	"verdi"	"Allah bize. Biz şahitlik yapma"
"s"	"S-BEABXB-0073-40"	"Şu benim cüzdanı versene. Tamam"	"veriyorum."	"Nerde? Nerde cüzdanın? Çantanın köşesine"
"w"	"W-DF05A1B-4370-908"	"şirketin yeniden canlandırılmasında söz hakkı"	"verilmesine"	"lüzum olmaması gerekir (66). Sonuç"
"w"	"W-LF05A1B-4447-930"	"şirketin ahlak programı hakkında bilgilerin"	"verildiği,"	"ahlakı ikilemleri içeren örnek olayları"
