"Register"	"Text"	"Left"	"-5;5"	"Right"
"w"	"W-OE39C0A-0235-1700"	"İnsanlık yeni bir karanlık çağa"	"giriyor."	"Bunu Batı'da da söyleyenler var."
"w"	"W-HE05A1B-3522-825"	"Şöyle Hakkında ulusal telefon ağlarına"	"girmek,"	"resmi dairelerin, büyük şirketlerin ve"
"s"	"S-BEABXs-0130-424"	"Şöyle bir şey var hiç"	"girmedin"	"mi sınava bi görmüş olursun"
"s"	"S-BEABXO-0080-458"	"şurdan pas veriyor. Cezanın içine"	"girmeden"	"şuran bir vuruyor ters köşeye"
"s"	"S-AEABI^-0330-902"	"şunu getir, bunu getir tavrıyla"	"girerse,"	"evet işler bi şekilde korkudan"
"s"	"S-BEABXs-0130-873"	"şunu diyorum şansını denemek için"	"girersin"	"yani kazanma umuduyla girmezsin. Yooo"
"w"	"W-MF25D1B-2156-932"	"şunları kaydetti ""Yeni bin yıla"	"girerken"	"Türkiye, içinde bulunduğu ekonomik zorulukları"
"s"	"S-ADABCo-0314-948"	"şuanda. Veyahutta internetten vatandaşlık numarasını"	"girerek"	"bağkur numarası bulacak. Ama her"
"s"	"S-ADBBAo-0443-34"	"şu anda İbrahim Tatlıses kapıdan"	"girseydi"	"ne yapardın, doğru konuşalım. Bir"
"s"	"S-AEABPZ-0331-230"	"şu anda Avrupa gir birliğine"	"girmeyi"	"düşünen Türkiye için en önemli"
"s"	"S-BEABXO-0056-79"	"Şu an? Tamam Murat Bey"	"girmiştir"	"bir ararım kendisini ben. Alarm"
"w"	"W-TI44F1D-4766-2438"	"ŞİMDİDEN BAŞARILAR DİLERİM... hesap sorumlusuna"	"giren"	"arkadaşlar kaçıncı sırada girdiler ben"
"w"	"W-LA16B2A-0514-2178"	"şirketleri ve güvenlik firmalarının reklamları"	"giriyordu..."	"Hatta bir ara bizi bir"
"s"	"S-ADABAo-0307-376"	"şirketler var. Ya da Türkiye'ye"	"girmek"	"isteyen yeni sermayedarlar var. Hatta"
"w"	"W-MB04A3A-1260-1675"	"Şimdilerdeyse, kazdağı göknarının korunması çabalarına"	"girildiğini"	"öğreniyor ve seviniyoruz. Ülkemizde doğal"
"s"	"S-ADABAo-0366-420"	"Şimdi... Hatta ben hemen devreye"	"girmek"	"istiyorum. 3'lü yanıda var. 3'lü"
"s"	"S-BEABXs-0130-1300"	"şimdi ya. Sen gittin nerde"	"girdin?"	"Konyada girdim ben. Selçuk Sabancı"
"s"	"S-ADBBAo-0443-390"	"Şimdi hayatının bir başka bölümüne"	"girmek"	"istiyoruz, birlikte olduğun ilk erkek"
"s"	"S-BEABX\-0065-326"	"Şimdi burda belli saatte eve"	"girmen"	"lazım. Girmesen orda geliyodu aylık"
"s"	"S-BEABXO-0165-1585"	"şimdi bu sene kardeşi de"	"gircek,"	"o da gircek. Ha ha!"
"s"	"S-ADABI]-0126-608"	"şimdi aklıma gelenler bunlar, bunlar"	"giriyor"	"dersimize ve en sevdiğim içlerinde"
"w"	"W-KE09C2A-0307-1941"	"şimdi ahzu kabz yetkisiyle içeri"	"gireceksiniz."	"Müvekkilinizi çekme ve alma yetkisini"
"w"	"W-TH09C1A-0834-803"	"şikâyet ederse kaçıran taraf hapse"	"girebiliyor."	"Bu durumda ben, hemen işin"
"s"	"S-BEABXO-0075-562"	"şikayet edemez gibi böyle havalara"	"giriyorlar."	"Aynen öyle. <B> Birader 20"
"s"	"S-BEABXO-0002-1615"	"şifresi? Gel bakyım. Bir. Sen"	"gir"	"sen. Anne bir yaz. Beş,"
"s"	"S-BEABXO-0165-1568"	"şifre almam lazımdı. Samsun'da mı"	"gircen?"	"Benim internet şifresini almam lazımdı."
"s"	"S-ADABAo-0388-999"	"Şeşen'i hem sınıftan hem enstitüye"	"girer"	"çıkarken hatırlıyorum. Aynı dersleri aldık"
"w"	"W-PI19F1D-4066-1754"	"şeytanlıklarına direnmiş ve kraliçenin yatağına"	"girmemiş."	"Zaten adam keyfinden Hz. değil,"
"s"	"S-BEABXl-0008-3"	"şeylere giryosun. Başka bi konuya"	"giryosun."	"Geçen gün daha bana arabayı"
"w"	"W-SA16B4A-0063-131"	"şeyler geveliyor, arkasına bakmadan içeri"	"giriyor..."""	"Ellerini iki yana açtı, kaşlarını"
"w"	"W-ME02A2A-2615-730"	"şeyler arasında bir karşılaştırma eylemine"	"girerken"	"en sağlıklı görüşü ve en"
"s"	"S-ADABAo-0368-764"	"şeyi zaman içerisinde böyle derslere"	"girip"	"çıkarken hayat bir şekilde öğretiyor"
"s"	"S-AEABUZ-0021-399"	"şeyi o bloğu kırıp içeri"	"girmek"	"biraz zor çünkü zaten iş"
"s"	"S-ADBBAo-0443-17"	"şeyi anlatsın. Dilara Hanım içeri"	"girsin."	"İnanmıyorum eyvah eyvah. Özcan dondu"
"w"	"W-MD39C2A-1315-1728"	"Şeyhülislâm, ""bre zındık şişenin içine"	"giren"	"şeytanın güvercini öldürdüğünü bilmez misin?"""
"s"	"S-BEABXW-0005-553"	"şeye? Hı? Bi daha mı"	"giriyorsun"	"hepsine? <B> Yaz Okulu yok"
"w"	"W-EC39E1B-3024-1888"	"şeye rağmen zihnime bir şüphe"	"girmişti."	"Nörolojik muayene (sinir sistemi muayenesi),"
"s"	"S-BEABXO-0075-1149"	"Şeye girecez diyo, astsubaylık sınavına"	"girecez"	"diyo girmiyo diyo. Gitti gezdi"
