"Register"	"Text"	"Left"	"-5;5"	"Right"
"s"	"S-ADABPZ-0134-179"	"“olmalıdır” deyişine geçişe doğalcı yanıltmaca"	"diyerek"	"ikisi arasındaki bağı bir çırpıda"
"s"	"S-ACABUZ-0035-1165"	"“Hepsine hepsini yaptım ey haat"	"diyor”"	"diyor” bir dizesinde. Aynen böyle."
"w"	"W-UD02A2A-1404-1989"	"şık söylemlerden ibaret kalmaya mahkumdur."	"Demek"	"istediğim, aslında toplumsal olayları psikanaliz"
"w"	"W-QE05A0A-0221-1617"	"Şüphesiz ki Garplılar devlete ""Osmanlı"""	"demezler,"	"""Türk İmparatorluğu"" adını kullanırlar ve"
"w"	"W-SG03A1B-3275-2307"	"Şüphe yok ki ilerleme adımları,"	"dediğim"	"gibi iki cins tarafından beraber,"
"s"	"S-BEABXW-0058-2182"	"şöyledir böyledir. Bizimkilere dedim. Bizimkiler"	"dediler"	"sen git tek başına git."
"s"	"S-BEABXO-0344-1897"	"şöyle olur aman böyle olur"	"demiceksin."	"Bi de ben erkek çocuk"
"s"	"S-BEABXO-0444-2035"	"şöyle dirsek attım. Ay! bari"	"dedim"	"benim yanımda yapma döverim. Sonra"
"w"	"W-GA16B4A-1239-891"	"şöyle belli olur, yazarsa böyle..."	"Demem,"	"elbet, o değil. Yafta da"
"s"	"S-BEABXw-0409-424"	"şöyle baktı tipime. Oturabilirsin kardeş"	"dedi."	"Oturdum, dedim teşekkür ederim hocam."
"s"	"S-BEABXO-0436-812"	"şurda elde avuçta kaç yıldır..."	"Dimeyek"	"dimeyek diyok da ayda yılda"
"w"	"W-JH42A2A-0870-700"	"Şuraya getirmek istiyorum. Hukuk devleti"	"dediğiniz"	"zaman, bunun insanlığa hayır getiren"
"w"	"W-FH09C1A-0807-2461"	"şuracıkta yanımızda olsaydı şimdi, şöyle"	"demez"	"miydi asansörü görünce ""Ben hakiri"
"w"	"W-OD39C2A-1194-2297"	"Şunu çok iyi anlamam lâzım"	"diyor."	"""Enflasyon, hayat pahalılığı, işsizliğin kaynağı"
"w"	"W-TF10E1B-2871-2144"	"şu ülke veya şu bölge"	"demek"	"doğru değil. Türkiye'ye yakın yerlerdeki"
"s"	"S-BEABXO-0344-921"	"şu ödevleri ya. Evet? Bir"	"dedik"	"behavioral objectives kalın başlık dedik"
"w"	"W-PI42E1B-2938-1221"	"şu yürüyen bir Kur'ân-ı Kerim'dir"""	"denildiğinde"	"aşktan İmâm-ı A'zam gibi uykuların"
"w"	"W-RA16B1A-1583-664"	"şu yeryüzünün üstünde bizlerin kayıp"	"diyebileceği"	"ne çok şey vardır kim"
"s"	"S-ADAB^Z-0370-241"	"şu projeni seninle bi tartışalım"	"demek"	"geçiyo mu içinizden? Yani bu"
"s"	"S-ADABCo-0242-2242"	"şu oluyo oluyo benim kulağıma."	"Demek"	"ki o zaman numaralıdır. Numaralı."
"w"	"W-TG43C2A-1807-1065"	"şu Marx'ı bir tanıyayım yahu"	"dedim!"	"Ve tıpkı Londra'da Ernest Lindgren'in"
"s"	"S-BEABXO-0086-2244"	"şu kırtasiye yok mu? Evet."	"Dedim"	"açıksa dedim gidiym ordan alıym."
"w"	"W-NH42C2A-1324-1850"	"şu halinden daha güzel olamaz"""	"diyerek"	"kemâlini ifade ettiği varlığın ve"
"s"	"S-BEABXL-0338-2313"	"Şu bölümü yazarsak belki olabilir"	"diyor"	"kılavuz bize öyle sinyal veriyor."
"w"	"W-LE41C2A-1360-1913"	"şu bizim fizikçi di'mi? Yerli"	"diyebileceğimiz"	"en yaygın efsanelerden biri -özellikle"
"w"	"W-LI22C1A-0776-1795"	"şu an aklıma söyleyebilir miyim"	"der."	"Kabul edilir. ""Sanma ciddiyet sarf"
"w"	"W-UC03A2A-1470-1102"	"şu amca, şu teyze vardı"	"derken,"	"bugün çevresinde ""yabancı"" olanları kendisiyle"
"s"	"S-BEABXw-0408-1741"	"şu adama diyim kardeş gidiyoruz"	"diyim."	"Gitmez misin lan? Gideriz tabi"
"w"	"W-GD39C3A-0381-1662"	"şoförüne ""Tansu Hanım'ı Bakanlığa götürün"""	"dedi."	"Çiller, basında yer alan ""Baba"
"s"	"S-BEABXO-0074-2238"	"şirketten abla ne olacak sanki"	"dedi"	"yıkayalım dedi. Bi su tuttu"
"w"	"W-MF10E1B-2864-924"	"şirketler bunun için ""Trend scout"""	"denen"	"uzmanlarla çalışıyor, hedefteki müşterileri her"
"w"	"W-IE39C0A-0193-1389"	"Şimşek, ""Evet, öyle demek istedim"""	"diyor"	"ve sözlerini sürdürüyor Bir ihbar"
"w"	"W-QE39C3A-0328-1597"	"şimdilik etkileyicidir. Onların ""yabancı sermaye"""	"dediği,"	"istediği zaman girip, istediği zaman"
"s"	"S-BEABXz-0387-1813"	"şimdi. Ondan sonra tamam tamam"	"dedi"	"Besim abinde yani dedi ayıp"
"s"	"S-BEABXn-0349-273"	"şimdi çıkıyom evden dedi. Ben"	"dedim"	"Allah ben napacam. Para da"
"s"	"S-ADABPZ-0134-1107"	"Şimdi tekilciler buna karşılık şöyle"	"demeye"	"devam ediyorlar; sadece tekiller vardır"
"s"	"S-BEABXO-0006-1612"	"Şimdi onlar kaç gün gel"	"diyorlar?"	"Ayda yirmi gün var. Haftada"
"s"	"S-ADABLA-0266-1320"	"Şimdi ondokuzuncu yüzyılda bu değişiyo"	"demiştim"	"di mi, artık kapalı bir"
