"Register"	"Text"	"Left"	"-5;5"	"Right"
"w"	"W-UD02A1B-4618-1386"	"“eş” “eş” imgesi etrafında şekillenmektedir."	"Anlatılan"	"TAT öykülerine ve eksik-hikaye tamlamalarına"
"s"	"S-BEABXO-0390-944"	"Şırnak o kadar homojen ki"	"anlatamam"	"sana... Zaza bile yok değil"
"s"	"S-ACABPA-0434-1266"	"şüphesiz. Cumhurbaşkanı dış politika alanında"	"anlaşmaları"	"müzakere eder, imzalar. Hatta dış"
"w"	"W-ME05A1B-3921-1327"	"şöyle sıralanabilir 1963yılında imzalanan Ankara"	"Anlaşması"	"1 Ocak 1996tarihinden itibaren gerçekleşmiş"
"w"	"W-UI22C4A-0820-1302"	"Şunu da söylemeliyim Ne kadar"	"anlatılırsak"	"anlatılalım, insanımıza anlatılanları zaman tüketir;"
"w"	"W-LA16B4A-0149-66"	"şubeye gitmemin hiçbir anlamı olmadığını"	"anlıyorum."	"Günü, ortalıkta gezerek geçirip akşam"
"s"	"S-ACABTZ-0336-873"	"şu Çernobilzedeliğimiz. Yani neler neler"	"anlatılabilir."	"Hepsi de emm çok ilginçtir."
"w"	"W-OH42C3A-0757-2351"	"şu açıklamalardan sonra daha iyi"	"anlaşılacaktır"	"Farabi, insanın biopsişik yapısının ilişkisinde"
"s"	"S-BEABXO-0440-1621"	"şu anda ne demek istediğimi"	"anlamıyosun."	"Bu kollar... En en ucuzunu"
"s"	"S-BEABX[-0163-1976"	"şişirince burası şiş kalıcak böyle."	"Anladın"	"mı? Hoş olmıcak yani. Zaten"
"w"	"W-PA16B2A-0692-1635"	"şivesiyle Rumca konuşuyordu. Bunu hemen"	"anlamıştı."	"Yunanlı olmadığı muhakkaktı. ""Kalispera,"" diye"
"w"	"W-KE05E1B-3299-1722"	"Şirketlerle Osmanlı Devleti arasında imzalanan"	"anlaşmaya"	"göre de gecikme tazminatı olarak"
"s"	"S-BEABXO-0344-1894"	"Şirket evi ne? Şirket eviymiş"	"anlamadım."	"Görüştürmediler bizi. Şirkete bağlıymış inmezmiş"
"w"	"W-NE30D1B-2104-2497"	"şimşeklerini çekecek. Yıllardır sürüncemede kalan"	"anlaşmayı"	"uygulamak üzere kasımda yeni bir"
"s"	"S-ACABQq-0426-1409"	"Şimdi, sataşmayla ilgili veya yanlış"	"anlaşılmayla"	"ilgili bir mevzu varsa, sizin"
"w"	"W-CG37C0A-0225-1460"	"şimdi, gözlemin doğruluğunu daha iyi"	"anlıyorum."	"Şundan ki, Mistiklik, hem doğayı"
"s"	"S-BEABXO-0060-2126"	"şimdi, evde misin? Tamam. Hıı."	"Anladım"	"kanka. Tamam hadi görüşürüz."
"w"	"W-KI09C2A-1544-2201"	"Şimdi siz iki alternatifi konuşuyorsunuz."	"Anladığım"	"kadarıyla bu konuda üniversitede ayrı"
"w"	"W-JA14B1A-1621-1679"	"Şimdi senin de bizden olduğunu"	"anladım."	"BEYEFENDİ Elbet sizdenim. Bizim de"
"s"	"S-AEAA@O-0155-518"	"şimdi okuduğum bi öykünün özetini"	"anlatmak"	"istiyorum. Emm öykümün ismi hiç"
"s"	"S-BEABXO-0120-1075"	"şimdi ne sölim? Olduğu gibi"	"anlat."	"Ortaya benim bile bilmediğim ayrıntılar"
"s"	"S-BEABXO-0080-1915"	"şimdi gidicek. Olimpiyat? Britanya? Ben"	"anlamadım"	"ki. Hı-hı. Olimpiyat Londra Olimpiyatları"
"s"	"S-ADBBAo-0443-1771"	"Şimdi bizim aldığımız tedbirleri de"	"anlaması"	"gerekir. Hiç olmazsa takdir etmeli."
"s"	"S-BEABXw-0353-1723"	"Şimdi biliyorum. O zaman çocuğudum"	"anlamazdım"	"da. Adam da ona tecavüz"
"s"	"S-BEABXO-0339-1068"	"Şimdi arayacak. Ee? Ee? Sen"	"anlat"	"buralar nasıl alıştın mı buralara?"
"s"	"S-ADABPZ-0119-453"	"Şimdi anlatim sana diyor. Başlıyor"	"anlatmaya."	"Bir tohum alacaksın. İşte göğüs"
"s"	"S-ADABPZ-0135-1808"	"Şimdi akıl nedir? Aklı nasıl"	"anlamalıyız?"	"Bir kez aklın yolu birdir"
"s"	"S-ADABPZ-0135-1443"	"Şimdi aklın böyle tek biçimde"	"anlaşılması"	"işte her türlü dinsel dogmatizmlerin,"
"w"	"W-RG37E1B-3046-1121"	"Şiir ancak yapısını oluşturan elemanların"	"anlaşılmasıyla"	"okuyucu zihninde anlam kazanır. ""Sanat"
"s"	"S-ADABCo-0283-848"	"şiddete maruz kalan kadınların hikayelerinin"	"anlatıldığı"	"Güldünya adlı televizyon dizisi. İnsan"
"s"	"S-ADABAo-0355-99"	"şi anlamıyorum. Ben anlamıyorum yani,"	"anlıyan"	"var heralde. Ben anlamıyorum. Çok"
