"Register"	"Text"	"Left"	"-5;5"	"Right"
"w"	"W-UA16B4A-0320-895"	"şöyle demişti ""Bu dünyada artık"	"yaşamak"	"istemediğini söylüyordu. Bana o gün,"
"s"	"S-ADABPZ-0125-1038"	"şöle bir bakın biz fiili"	"yaşadığımız"	"için biz size sokaktan bilgi"
"s"	"S-ACABQq-0426-43"	"şunu da biliyoruz Bu coğrafyada"	"yaşıyoruz,"	"o cinayeti işletenler ile soruşturanlar"
"w"	"W-LE39C3A-0454-1278"	"şubeler de bir kârlılık sorunu"	"yaşıyor."	"Yani görece hantal Türk banka"
"s"	"S-ADABCo-0306-602"	"Şu tarafa geliyor. Burasıda patlamanın"	"yaşandığı"	"ve 4 askerin şehit olduğu"
"w"	"W-IH09C2A-0650-1781"	"Şu kalleş yaşamda, Gerçek anlamda."	"Yaşamadım,"	"Evet, yaşamadım. 26.6.1?80 26.6.1?80 Turan"
"w"	"W-MA16B3A-0379-1629"	"şu kadar yaşamadım yerine şöyle"	"yaşamadım"	"diyebileyim."" demişsin bir mektubunda. ""Önemli"
"w"	"W-NA16B3A-0661-2496"	"şu kadar bin yıl önce"	"yaşamış"	"ve aynı eşyayı tutmuş olan"
"w"	"W-VA14B1A-3373-1699"	"Şu güzelim dünyayı çekilmez yapan,"	"yaşanmaz"	"hale getiren de işte sizin"
"w"	"W-TC29D1B-2798-581"	"şu anda hızla çözümleniyor. Bu,"	"yaşayan"	"organizmalarla ilgili her şeyi anlamış"
"s"	"S-ADABPZ-0134-842"	"şu anda en yoksul dönemlerini"	"yaşamaktadır"	"bu arada fakir edebiyat yapmıyorum,"
"w"	"W-SI27D1B-2465-2207"	"şu anda aktrisin Kaliforniya'daki evinde"	"yaşadıklarını"	"söyledi. ""Harry ile Sally Tanışınca"","
"s"	"S-AEABUZ-0021-335"	"şiyler olacak, ülkem iyi şeyler"	"yaşayacak."	"Yani bir tüketim toplumu, o"
"w"	"W-TF10A2A-1881-848"	"şirketin karlılığı endüstride son zamanlarda"	"yaşanan"	"değişmelerin etkisini ölçmeyi sağlamalıdır ve"
"w"	"W-SA16B1A-1488-1656"	"şimdilik terk ettim. Evde benimle"	"yaşayan"	"her şeyi şimdilik terk ettim."
"w"	"W-RA16B2A-1246-1193"	"Şimdi önyargıyla ilgili hazırlanmış güzel,"	"yaşanmış"	"hayat hikayelerinden oluşan bir (test)"
"s"	"S-ADAASK-0036-127"	"Şimdi yeryüzünde ne kadar insan"	"yaşıyor?"	"7 milyar. Yapılan hesaplara göre"
"w"	"W-BA22B2A-1149-177"	"Şimdi malum, orda Doğu Anadolu'da"	"yaşayanlar"	"var, şeyler var... Şey diyorlar,"
"s"	"S-BEABXO-0381-404"	"şimdi kızanlar gençler yaşasınlar, valla"	"yaşasınlar."	"Biz ep elde yıkadık, tarlalarda,"
"w"	"W-VG37E1B-3069-1805"	"Şimdi geriye dönüp baktığımda travma"	"yaşadığımı"	"düşünüyorum. O çaresizlik beni çok"
"s"	"S-BEABXO-0436-1002"	"şimdi bunları yaşadınız ya... He"	"yaşadık"	"hep yaşadık. Bunları yaşadınız şimdi"
"s"	"S-BEABX\-0065-1"	"şi yok. Monoton bi hayat"	"yaşıyoz."	"Monoton. Hiç bi şeyimiz şey"
"s"	"S-AEAASO-0039-917"	"şeytanın, nefsin arzuları doğrultusunda kazandın,"	"yaşadın,"	"ağız tadıyla yiyemezsin çok olsa"
"w"	"W-QD43C1A-0286-2246"	"şeyi son 30 sene içinde"	"yaşıyoruz"	"biz. Türk çocukları Noel'lerde kiliselere"
"s"	"S-BEABXO-0007-415"	"şeyi istediği gibi olsa, rahat"	"yaşasa..."	"Zaman geçse geçmese ne olacak?"
"w"	"W-TE36E1B-3353-1331"	"şeyi asla dillendirmem. Deniz Seki'yle"	"yaşadığınız"	"tartışma gibi mi? Canlı yayında"
"w"	"W-TE36E1B-3354-646"	"şeydir. O genç kızların içinde"	"yaşadıkları"	"sosyal koşulları görünce, o dengeyi"
"w"	"W-UA16B1A-1218-2060"	"şey? N'olur anlat... Hamdi, kentte"	"yaşadığı"	"ve yedi yaşını geçtiği halde,"
"w"	"W-RD36E1B-2842-1203"	"şey, bir dahaki yaza kadar"	"yaşatabileceğimizdi"	"birbirimizi... Ritüelin en dramatik kısmı,"
"w"	"W-RH42A2A-0306-627"	"şey, ahlaken iyi bir hayat"	"yaşamaktır."	"Yine bütün insanlar, kendilerinde ilâhi"
"w"	"W-RG03A1B-3268-1438"	"şey yok. O an için"	"yaşıyor"	"ve orada Büyük Dük'ün yanı"
"w"	"W-OG37F1B-2931-2223"	"şey yapmazlarmış. Ara ara tatsızlıklar"	"yaşadıkları"	"da olurmuş. Orta yere yaptıkları"
"s"	"S-BEABXO-0325-968"	"şey olmuyo, daha önceden hani"	"yaşadıklarımızla"	"başkaları yaşadıklarını hatırlıyorum, sen de"
"w"	"W-SI41C4A-1393-1007"	"şey olabilir. Unutmayın bu evrede"	"yaşananları"	"evlilikte de devam ettirmeniz gerek"
"s"	"S-ADAB^A-0317-901"	"şey karabiber olmuş. Karabiber orda"	"yaşamadığı"	"için. <B> Sumak, keza, zençefil"
"w"	"W-OC03A3A-1418-2360"	"şey değildir ve hangi aşk"	"yaşanmaktan"	"çok yaşanıldığı sanılan bir şey"
"w"	"W-OA16B2A-1004-1767"	"şey bastıramadı... Çünkü yaşlı adamla"	"yaşadığı"	"o tatlı günleri hiç unutamıyor,"
"w"	"W-QG24D1B-2318-1078"	"Şeref Bilsel, Can Bahadır Yüce,"	"Yaşar"	"Bedri Özdemir, Hayrettin Orhanoğlu gibi"
"w"	"W-FB04A1B-3877-1205"	"ŞEN ÖZET Keban Baraj Gölü'nde"	"yaşayan"	"Chondostoma regium (Heckel, 1843) ve"
"w"	"W-QD36E1B-2841-1964"	"Şeklini çizdiği bir takımyıldızın Aratos'un"	"yaşadığı"	"yıllarda Tarsus'tan gözlenmesi olanaksız, çünkü"
"w"	"W-PI09C3A-1078-361"	"şeklindeydi. 1960'lar sonunda plak teknolojisinde"	"yaşanan"	"gelişme ile parçalar arasında mix"
"w"	"W-SB04A2A-1993-697"	"şekilleri de mevcuttur. Komensal Yaşam=Birlikte"	"yaşayan"	"organizmaların, birlikte yaşamaktan ne yarar,"
"w"	"W-QG37E1B-2933-854"	"şekillendiği ve insanın ne yaşayıp"	"yaşamadığı"	"ile belirlenir. Onların şiirlerini kendilerine"
"s"	"S-ADBBAo-0443-963"	"şekilde düşünüyor. Peki yıllar sonra"	"yaşadıklarından"	"sonra Mehmet Bey'le birliktesin ve"
"s"	"S-ACABPZ-0329-1082"	"Şekilde Andria Ameti isimli ustanın"	"yaşadığı"	"yer, çalıştığı atölye ve onun"
"s"	"S-BEABXW-0058-188"	"şekilde ama alışıncaya kadar sorunlar"	"yaşıcaksın"	"yani. Doğru doğru. Bölümde de"
"w"	"W-TI09C3A-1229-170"	"şehrin değişik yerlerini rengiyle, kokusuyla"	"yaşamaya"	"başladım, işte eski kentin bilmem"
"w"	"W-NH03A1B-2390-1936"	"şehirlerinde de pek çok hadisçinin"	"yaşamış"	"olduğu bir gerçektir. Hadis Ekolü,"
"w"	"W-SD18E1C-4173-1102"	"şehirlere göç ederek sağlıksız ortamlarda"	"yaşamalarının"	"önlenmesine ve bulundukları yerlerde de"
"s"	"S-BEABXW-0058-591"	"şehir oralar, yemin ediyorum tam"	"yaşanıcak"	"şehirler ya. Kanka paran olmadıktan"
"w"	"W-OA16B2A-0438-1298"	"şehir gürültüsünden uzak bir yerde"	"yaşamayı"	"zaman zaman düşünmüşümdür. Kimbilir? Belki"
"w"	"W-KF25D1B-2786-2446"	"Şefi Martin Hardy, Türk ekonomisinde"	"yaşanan"	"son gelişmelere olumlu baktıklarını söyledi."
"w"	"W-OC06A1B-3907-1808"	"şebekelerinde sulama ücreti toplanması konusunda"	"yaşanan"	"sorunlar, yönetimin birliklere devri sonrasında"
"w"	"W-QE37C2A-1436-1262"	"şaşkınlık ve şoku bir arada"	"yaşadım."	"Sahil yerinde yoktu. Bir şeyler"
"w"	"W-RD36E1B-2842-1317"	"şartı olarak ileri sürersek, günümüzün"	"yaşayan"	"medeniyetleri içerisinde bu şartı yerine"
"w"	"W-VI13C1A-2637-1124"	"şartsız milletindir."" ifadesini koruyacak ve"	"yaşamasını"	"sağlayacak olan bizleriz. Millet olma"
"s"	"S-ADABCo-0241-809"	"şartlarıyla mücadele etmeyi, emm teknede"	"yaşamanın"	"ne demek olduğunu, yelken yapmanın"
"w"	"W-RE36E1B-3293-1111"	"şarkıların çalınmasıyla ufak bir şaşkınlık"	"yaşayabilirsiniz."	"Ama şaşkınlığınızın nedeni Jethro Tull'ın,"
"w"	"W-DD02A1B-3569-2121"	"Şarkı ölsün yok tasa, Türkülerim"	"yaşar"	"söyler halk dili. Yalvar, çoban,"
"w"	"W-SD37C4A-1354-2380"	"şampiyonu olmasını sağlayabilir misiniz? Doğalığın"	"yaşayamayan"	"canlının başarılı ve mutlu olması"
"w"	"W-UD03A1A-0902-2133"	"Şaman, -cadı'dan farklı olarak- içinde"	"yaşadığı"	"toplulukça doğaüstü güçlerle ilişki kurmasına"
"s"	"S-ACABPZ-0329-169"	"ışık tutması gerçekten bizim bugün"	"yaşıyan"	"yapımcıların vaz geçemediği ve klasik"
"w"	"W-SA16B1A-0914-2132"	"üçüncü mumu da üflemek isterim."	"Yaşamayı"	"sevmemden değil, o şekilde çekilecek"
"w"	"W-SI09C1A-0533-541"	"üç genç kızın aynı evde"	"yaşaması"	"da bir o kadar zordu"
"s"	"S-ADABCo-0282-502"	"üzerinede basın tarihinde bir ilk"	"yaşanmıştı."	"Bir grup yazar bu haberi"
"w"	"W-OG24D1B-3361-1613"	"üzerine Ioseliani, seksenli yıllarda, Tiflis'te"	"yaşamayı"	"sürdürmesine rağmen Fransa'da çalışmaya başladı."
"s"	"S-ADAABo-0367-1118"	"üzerine düşünmek, İbn-i Haldun'un bazı"	"yaşadığı"	"dönem üzerine düşünmek, İbn-i Haldun'un"
"w"	"W-PF10E1B-3064-989"	"üzerinden ses aktarımı konusunda problemler"	"yaşanıyor."	"Burada bizim yeni teknolojilere açık"
"w"	"W-HC06A2A-2006-1121"	"üzerinde yetiştiklerini; bir kısmının simbiyoz"	"yaşadığını,"	"yani canlılarla ortak yaşama girdiklerini;"
"s"	"S-ADABPZ-0134-589"	"üzerime üzerime gelen olgulara bakıyorum,"	"yaşanılamıyacak"	"bir dünya kirletiliyor, tahrip ediliyor,"
"w"	"W-ED02A3A-0594-39"	"üzeride durduğu feodal değerler? Aslında"	"Yaşar"	"Kemal, bir romancı olarak, işin"
"w"	"W-EA16B2A-1205-1081"	"üzere, pek çok hayvan türü"	"yaşıyor."	"Kente yaklaştıkça yollar tıkanmaya başlıyor."
"w"	"W-KB04A1B-4073-283"	"üzere götürülen hayvan sürüleri gölde"	"yaşayan"	"kuşlan ürküterek büyük bir tedirginlik"
"w"	"W-KE39E1B-3300-653"	"üyesini davet etmemişlerdir. Yurt dışında"	"yaşayan"	"vatandaşlarımızın oy kullanması için yapılan"
"s"	"S-ADABCo-0363-305"	"üyeleri emm fildişi kuleleri içinde"	"yaşayan"	"varlıklar değil. Yani emm bu"
"w"	"W-UI42E1B-2943-2363"	"üstünde huzurun resmedildiği, okunduğu ve"	"yaşandığı"	"bir yerdi. Ve bu yer,"
"w"	"W-RE36E1B-3293-805"	"Üstelik gençtim, henüz batık aşklar"	"yaşayacak"	"çağda değildim. Kim bilir benim"
"s"	"S-AEABTZ-0337-530"	"üste yaşanarak üst üste koyarak"	"yaşanması"	"şart. Geçmişle ilişkiyi kesen zaten"
"s"	"S-AEABTZ-0337-768"	"üst üste koyarsak bir anda"	"yaşamaya"	"devam etmek gerekli. En önemli"
"s"	"S-ACABQq-0422-597"	"üst düzeyde olduğu bir dönem"	"yaşandığını"	"görüyoruz. Son zamanlarda, Avrupa'nın muhafazakârlarıyla"
"s"	"S-ACABTZ-0336-558"	"üst boyutlara çıkıyor. Dolayısıyla işgaller"	"yaşanıyor."	"Kan ve gözyaşı Dünya'dan eksik"
"s"	"S-ADABPZ-0134-475"	"ürünü gurbetçi umutsuzdur. O ölümünü"	"yaşar"	"dinlen emm dönebileceği bir zamanı"
"w"	"W-FB04A1B-3877-964"	"Ürünleri 1993 KEBAN BARAJ GÖLÜ'NDE"	"YAŞAYAN"	"CHONDROSTÖMA REGİUM(HECKEL, REGİUM(HECKEL, 1843) VE"
"w"	"W-UI45F1D-4719-1447"	"ürün veya hizmet satmasından deneyim"	"yaşatmaya"	"sıçraması da ekonomik değer yaratmak"
"w"	"W-ED02A3A-2708-2096"	"üreten takımlardır. Takımlar, sorunların içinde"	"yaşadıkları"	"için, nedenlerini, boyutlarını, çoğu kez"
"w"	"W-PA14B1A-4731-2466"	"Ülkesindeyiz. Bu arada Berfin ülkesinde"	"yaşananları"	"anlattı Renkler Ülkesinin çocuklarına... Renkler"
"s"	"S-ACAAQq-0424-609"	"ülkemizde son yıllarda hızlı büyümelerin"	"yaşandığı,"	"fabrikalarda üretimlerin arttığı, otomobil satışlarının"
"w"	"W-PI36C2A-0609-2459"	"ülkelerde, tehlike yaratabilecek endüstrilerin yöresinde"	"yaşayanlar,"	"önemli tazminatlar ödenerek oradan uzaklaştırılır"
"w"	"W-KF25D1B-2150-41"	"ülke sağlıklı olmaz, bu ülkede"	"yaşayan"	"insanlar mutlu olmaz, bu ülke"
"w"	"W-UG37E1B-3068-2399"	"öğretmenlik yapıyordum. Mevsimlerden kıştı ve"	"yaşadığım"	"bu kente çok kar yağardı..."
"w"	"W-SE13C2A-1487-440"	"öğretiyi kavradığını da söyleyebilirim. Son"	"yaşadığım"	"olayın benim için olan öğretisinin;"
"w"	"W-UE05A1B-4298-728"	"öğrenme ve gelişme arayışı içindedirler."	"Yaşanan"	"olaylar üstünde düşünme becerisi yöneticileri"
"w"	"W-GG22C1A-0531-2241"	"öğrenemiyoruz. Uzun süre bir arada"	"yaşamışsak"	"sezdiğimiz anlamlan ""insanca"" yorumlamamız sakınca"
"s"	"S-ADABCo-0361-765"	"öğrendik ama insan gibi kardeşçe"	"yaşamayı"	"öğrenemedik"" diyor. Yani aslında öğrenmekteki"
"s"	"S-ADABAo-0368-887"	"öğrencilerimize özellikle de ailelerinden uzakta"	"yaşamak"	"zorunda olan ve kendilerini birileriyle"
"w"	"W-NI27D1B-2462-1702"	"öğrenciler geldi yanıma. ""İstanbul Üniversitesi'nde"	"yaşadıklarımızı,"	"bize yaşatılanları biliyor musunuz?"" dediler."
"w"	"W-VI13C1A-2637-1466"	"özledim. Birçok şey taklide dönmüş"	"yaşadığımız"	"şu Dünya Âlem'inde. Üç kuruşa"
"w"	"W-QI37E1B-3060-1171"	"özgürlüğümün başlangıcında sevdiklerimle birlikte kutlarken;"	"yaşadığım"	"(özgürlükle dolu) her ani sizlerle"
"w"	"W-QA16B2A-0378-284"	"özgürlüğü bütün bu topraklar üzerinde"	"yaşayan"	"insanların doğal hukuku olacaktı. Oysa"
"w"	"W-GD39C3A-0387-1586"	"özgürlükleri kaldıran bir darbe daha"	"yaşadı"	"geçmişte 12 Mart. Bu darbede"
"w"	"W-CE39E1B-3022-1653"	"özetler. Mücadeleyi hayatın düsturu ve"	"yaşamanın"	"bir sırrı imiş gibi görür."
"s"	"S-ACAAQq-0424-946"	"Özellikle, ben, bunu iki sefer"	"yaşadım;"	"kendi arabamla yaptığım seyahatlerde yollardan"
"s"	"S-ADABPZ-0134-1022"	"özellikle ülkemizde yoğun bir şekilde"	"yaşadığımızı"	"biliyoruz. Şimdi bu paradokstan çıkış"
"w"	"W-EB04A3A-1988-1118"	"özellikle sığ nehir ağızlarında, dipte"	"yaşayan"	"çok sayıda organizma pelajiğe geçer."
"s"	"S-ADABII-0439-1102"	"özel emeklilikler başladığı zaman kendisi"	"yaşadığı"	"deneyimlerden sonra bize böyle bir"
"w"	"W-LD36C3A-0429-21"	"özel ekipte büyük bir telaş"	"yaşanmış,"	"ekip dağıtılmış, Abdullah Çatlı Ankara'ya"
"w"	"W-SH03A1B-3155-1487"	"özel bir anlam yüklenen 'ölen,"	"yaşar',"	"'kaybeden, bulmuştur' gibi deyişler de"
"w"	"W-ED02A1A-2707-1970"	"özdeşlik içinde değerlendirilen Osmanlı hanedanının"	"yaşatılması"	"tanzimat döneminin temel sorununu oluşturmaktadır."
"s"	"S-AEABUs-0037-256"	"öylesine anlar yaşanıyor ki hayatta,"	"yaşayan"	"bilir. Burada Teodor Teakrey özelinde"
"w"	"W-MA16B2A-0874-815"	"öyle şen, güçlü ve güzel"	"yaşamalıydı."	"Bir yetmişi geçmişti boyu o"
"w"	"W-MA16B3A-0655-1550"	"öyle istiyor, uzak ve solgun"	"yaşamayı"	"yeğliyordu. Öldüğü gün odasına girmiş,"
"w"	"W-NG37C0A-0192-324"	"öyle hissettim ve dolu dolu"	"yaşanmış"	"bir hayatı bir ucundan yüklendim."
"s"	"S-ADBBI^-0326-369"	"Öyle aman aman kimseye mutluluk"	"yaşatmamışımdır"	"herhalde. Kimse de bana yaşatmadı"
"w"	"W-SH39C0A-0142-2050"	"öykü yazmak vardı. Yaşadıklarımı ve"	"yaşayamadıklarımı"	"yazmak isterken, kalemimin ucu nerelere"
"w"	"W-SE20C0A-0238-643"	"övüyordunuz. İnsanlara kolay bağlanamıyorum ben"	"yaşadığım"	"acı olaylardan sonra, ama size"
"w"	"W-RE39E1B-3035-1971"	"ötürü hoş gören, yaşatmak için"	"yaşamayı"	"tavsiye eden, ""Gül bitirmek için"
"s"	"S-ADAABo-0369-785"	"öttüğü sarayın burnunda mutluluk içinde"	"yaşamaya"	"başlamış ama yinede geçmişini unutamamış"
"w"	"W-LE39C3A-1263-1566"	"Öte yandan, bu duygu alışverişinin"	"yaşandığı"	"âlemde herkesin hayatının rüyası ""Avrupai"
"s"	"S-ADABPZ-0135-828"	"Öte yandan insanların bir arada"	"yaşamalarını"	"rasyonel bir şekilde düzenlemek arayışından"
"w"	"W-NI29D1B-2450-1893"	"Örneğin, Güney Pasifik'te Mangia Adası'nda"	"yaşayan"	"yerliler, 1700 yılında Avrupalılar adaya"
"w"	"W-LF10A2A-1874-261"	"Örneğin bir ülke ekonomik durgunluk"	"yaşadığı"	"için mali yardım alıyorsa ve"
"w"	"W-IF05A3A-1268-2395"	"örnekleridir. Hiç bir insan ekmeksiz"	"yaşayamaz,"	"ama modern insan yalnız ekmekle"
